,area_name,area_url
120,United Methodist Church of Boulder,http://www.mountainproject.com/v/united-methodist-church-of-boulder/105929338
121,Wolf Law Building,http://www.mountainproject.com/v/wolf-law-building/107619558
122,"Bastille, The",http://www.mountainproject.com/v/the-bastille/105807521
123,Cadillac Crag,http://www.mountainproject.com/v/cadillac-crag/105744844
124,Cartoon Crag,http://www.mountainproject.com/v/cartoon-crag/106635037
125,Continental Crag,http://www.mountainproject.com/v/continental-crag/105745855
126,Diamond Head,http://www.mountainproject.com/v/diamond-head/105745735
127,Eldorado Canyon Bouldering,http://www.mountainproject.com/v/eldorado-canyon-bouldering/106731703
128,Hawk-Eagle Ridge,http://www.mountainproject.com/v/hawk-eagle-ridge/105745073
129,Island Rock,http://www.mountainproject.com/v/island-rock/106052432
130,Kloof Alcove,http://www.mountainproject.com/v/kloof-alcove/105745367
131,Millennium Crag,http://www.mountainproject.com/v/millennium-crag/105746358
132,North Rock,http://www.mountainproject.com/v/north-rock/105746656
133,Peanuts Walls,http://www.mountainproject.com/v/peanuts-walls/105807515
134,Petit Bastille,http://www.mountainproject.com/v/petit-bastille/105746361
135,Physical Crag,http://www.mountainproject.com/v/physical-crag/105746641
136,Redgarden Wall,http://www.mountainproject.com/v/redgarden-wall/105807689
137,Rincon,http://www.mountainproject.com/v/rincon/105807722
138,"Rotwand, The",http://www.mountainproject.com/v/the-rotwand/105746322
139,Secret Circle,http://www.mountainproject.com/v/secret-circle/106247956
140,Shirt Tail Peak,http://www.mountainproject.com/v/shirt-tail-peak/105745304
141,Sobo,http://www.mountainproject.com/v/sobo/105745723
142,Split Block,http://www.mountainproject.com/v/split-block/105745238
143,Supremacy Rock,http://www.mountainproject.com/v/supremacy-rock/105745220
144,"Veil, The",http://www.mountainproject.com/v/the-veil/105745693
145,Visitor's Center,http://www.mountainproject.com/v/visitors-center/106862641
146,"West Ridge, The",http://www.mountainproject.com/v/the-west-ridge/105807716
147,"Whale's Tail, The",http://www.mountainproject.com/v/the-whales-tail/105744862
148,"Wind Tower, The",http://www.mountainproject.com/v/the-wind-tower/105807505
149,Behemoth,http://www.mountainproject.com/v/behemoth/105958806
150,East Ridge,http://www.mountainproject.com/v/east-ridge/105746086
151,"Industrial Wall, The",http://www.mountainproject.com/v/the-industrial-wall/105745091
152,Mickey Mouse Wall,http://www.mountainproject.com/v/mickey-mouse-wall/105744750
153,Ridge 1,http://www.mountainproject.com/v/ridge-1/105745849
154,Ridge 2,http://www.mountainproject.com/v/ridge-2/105745804
155,Ridge 4,http://www.mountainproject.com/v/ridge-4/105745094
156,Secret Crag (aka Ridge 6),http://www.mountainproject.com/v/secret-crag-aka-ridge-6/105745106
157,Suburbia Boulder,http://www.mountainproject.com/v/suburbia-boulder/105746433
158,Warm Up Rock,http://www.mountainproject.com/v/warm-up-rock/108599960
159,Alamo Rock,http://www.mountainproject.com/v/alamo-rock/105746524
160,Amphitheater's Backside,http://www.mountainproject.com/v/amphitheaters-backside/107300500
161,Beer Barrel Boulder,http://www.mountainproject.com/v/beer-barrel-boulder/105744868
162,Brown Glass Wall,http://www.mountainproject.com/v/brown-glass-wall/107180243
163,Bulging Wall,http://www.mountainproject.com/v/bulging-wall/107325039
164,"Candel Area, The",http://www.mountainproject.com/v/candel-area-the/107326513
165,"Capstan, The",http://www.mountainproject.com/v/the-capstan/105744726
166,Cloud Shadow,http://www.mountainproject.com/v/cloud-shadow/105744865
167,Cookie Jar,http://www.mountainproject.com/v/cookie-jar/105746483
168,Crown Rock,http://www.mountainproject.com/v/crown-rock/105746516
169,Cryptic Boulder,http://www.mountainproject.com/v/cryptic-boulder/107507078
170,"Dark Side, The",http://www.mountainproject.com/v/the-dark-side/107514858
171,Distant Dancer Pinnacle,http://www.mountainproject.com/v/distant-dancer-pinnacle/105746507
172,Face Wall,http://www.mountainproject.com/v/face-wall/109083646
173,First Overhang,http://www.mountainproject.com/v/first-overhang/105746310
174,"Flagstaff Amphitheatre, The",http://www.mountainproject.com/v/the-flagstaff-amphitheatre/105746581
175,Forgotten Ridge,http://www.mountainproject.com/v/forgotten-ridge/108730112
176,Fraggle Rocks,http://www.mountainproject.com/v/fraggle-rocks/108270996
177,Golf Club Boulder,http://www.mountainproject.com/v/golf-club-boulder/105745121
178,"Great Escape Boulder, The",http://www.mountainproject.com/v/the-great-escape-boulder/106945006
